player,games_played,seasons_played,pos_mapped,avg_ts_percent,avg_per,avg_mpg,avg_x3p_ar,avg_orb_percent,avg_drb_percent,avg_ast_percent,avg_stl_percent,avg_blk_percent,avg_tov_percent,avg_usg_percent,avg_ows_48,avg_dws_48,avg_obpm,avg_dbpm,avg_bpm,avg_vorp,max_ts_percent,max_per,max_mpg,max_x3p_ar,max_orb_percent,max_drb_percent,max_ast_percent,max_stl_percent,max_blk_percent,max_tov_percent,max_usg_percent,max_ows_48,max_dws_48,max_obpm,max_dbpm,max_bpm,max_vorp,cluster_label,ALL_NBA_total,ALL_DEF_total,1T_ALL_NBA_total,2T_ALL_NBA_total,3T_ALL_NBA_total,1T_ALL_DEF_total,2T_ALL_DEF_total,DPOY_total,MIP_total,MVP_total,ROY_total,SMOY_total
Pat Connaughton,405,6,2.167,-0.05,-0.73,-0.404,1.325,-0.192,-0.113,-0.667,-0.524,-0.335,-0.941,-1.112,-0.056,0.468,-0.182,0.383,0.012,-0.167,0.922,-0.266,0.205,1.9,0.129,0.317,-0.249,0.286,0.217,0.53,-0.927,0.512,1.65,0.409,1.149,0.461,0.303,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dennis Smith Jr.,176,3,1.0,-1.747,-0.568,0.48,-0.279,-0.684,-0.819,1.42,1.157,-0.407,0.94,0.836,-1.94,-0.119,-0.793,-0.155,-0.759,-0.746,-1.234,-0.423,0.748,-0.014,-0.557,-0.623,1.666,2.098,-0.085,1.593,1.821,-1.582,0.177,-0.425,1.085,-0.634,-0.648,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antonio Harvey,114,2,4.0,-2.348,-1.167,-1.331,-0.994,0.628,0.374,-1.041,-0.296,1.903,-0.505,-0.541,-2.075,0.315,-1.516,-0.358,-1.515,-0.946,-1.717,-1.043,-1.015,-0.982,0.973,0.99,-0.889,-0.011,2.165,-0.116,-0.538,-1.442,0.725,-1.485,0.059,-1.335,-0.798,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kevin Willis,1390,19,4.211,-0.16,0.296,0.206,-0.782,1.497,1.505,-0.938,-0.507,-0.06,-0.236,0.431,-0.197,0.489,-0.27,-1.002,-0.66,-0.661,0.872,1.455,1.256,-0.415,2.155,2.966,-0.409,2.028,0.258,0.768,1.135,0.837,2.716,0.865,1.2,0.301,0.397,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mark Bryant,733,12,4.25,0.219,-0.83,-0.775,-0.862,0.753,0.424,-0.922,-0.655,-0.341,-0.104,-0.923,-0.107,0.277,-0.924,-0.16,-0.87,-0.823,1.25,-0.261,0.002,-0.636,1.394,0.904,-0.643,-0.159,0.123,1.065,-0.279,0.587,1.438,-0.356,0.995,-0.281,-0.546,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greg Kelser,270,4,3.0,0.329,-0.023,-0.612,-0.307,1.465,0.252,-0.579,-0.058,0.055,0.887,0.632,-0.446,-0.128,-0.443,-0.463,-0.636,-0.643,1.413,0.36,-0.082,-0.021,1.676,0.621,-0.202,0.468,0.269,1.158,1.333,0.155,0.67,0.038,0.285,-0.23,-0.412,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terance Mann,270,4,2.5,0.183,-0.462,-0.703,-0.467,-0.087,-0.277,-0.037,-0.557,-0.535,0.054,-0.803,0.295,-0.14,-0.434,0.304,-0.243,-0.309,0.66,-0.224,0.561,-0.025,0.164,0.109,0.48,-0.175,-0.377,1.299,-0.564,0.739,0.13,-0.106,0.905,-0.081,-0.123,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marvin Webster,322,4,5.0,-0.258,-0.67,-0.593,-0.52,1.688,1.206,-1.116,-0.99,2.205,0.878,-1.363,-0.58,1.144,-0.647,0.96,-0.098,-0.374,0.261,-0.109,-0.18,-0.303,2.17,1.437,-0.96,-0.488,3.096,1.708,-1.004,-0.044,2.211,-0.306,1.838,0.343,-0.071,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Predrag Drobnjak,278,4,5.0,-0.888,-0.406,-0.584,-0.512,0.122,0.046,-0.752,-0.721,0.018,-1.095,0.396,-0.622,-0.959,-0.446,-1.327,-0.954,-0.83,-0.532,-0.377,-0.07,-0.271,0.401,0.577,-0.705,-0.191,0.22,-0.549,0.539,-0.315,-0.5,-0.367,-0.866,-0.702,-0.732,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Desmond Bane,202,3,2.0,0.421,0.314,0.397,0.419,-0.681,-0.31,0.027,0.045,-0.498,-0.522,0.42,0.507,0.152,0.754,-0.012,0.642,0.625,0.49,0.874,0.851,0.648,-0.644,-0.142,0.615,0.646,-0.424,-0.339,1.078,0.861,0.549,1.334,0.162,1.219,1.224,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
