,player_id,player,games_played,seasons_played,avg_ts_percent,avg_per,avg_mpg,avg_x3p_ar,avg_orb_percent,avg_drb_percent,avg_ast_percent,avg_stl_percent,avg_blk_percent,avg_tov_percent,avg_usg_percent,avg_ows_48,avg_dws_48,avg_obpm,avg_dbpm,avg_bpm,avg_vorp,max_ts_percent,max_per,max_mpg,max_x3p_ar,max_orb_percent,max_drb_percent,max_ast_percent,max_stl_percent,max_blk_percent,max_tov_percent,max_usg_percent,max_ows_48,max_dws_48,max_obpm,max_dbpm,max_bpm,max_vorp,ALL_NBA_total,ALL_DEF_total,1T_ALL_NBA_total,2T_ALL_NBA_total,3T_ALL_NBA_total,1T_ALL_DEF_total,2T_ALL_DEF_total,DPOY_total,MIP_total,MVP_total,ROY_total,SMOY_total
1215,3073,Keith Closs,115,2,-0.464,-0.077,-1.254,-0.877,0.708,0.364,-1.013,-1.389,3.153,-0.283,-0.758,-0.615,-0.791,-0.672,0.085,-0.55,-0.653,-0.064,-0.035,-1.115,-0.854,0.773,0.417,-0.975,-1.353,3.487,-0.199,-0.515,-0.293,-0.673,-0.574,0.273,-0.539,-0.627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1216,2066,J.J. Anderson,157,3,-1.494,-0.758,-1.447,-0.299,1.093,-0.282,-0.776,1.043,-0.029,-0.413,-0.147,-1.463,0.865,-0.935,0.021,-0.857,-0.708,-0.022,-0.185,-0.78,-0.108,2.109,0.255,-0.531,1.651,0.217,0.021,0.355,-0.188,2.833,-0.325,1.005,-0.271,-0.549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1217,3719,Solomon Jones,173,3,0.894,-0.713,-1.507,-1.026,0.785,0.165,-0.951,-1.221,1.676,0.426,-1.105,0.068,0.144,-1.456,0.418,-1.116,-0.804,2.533,-0.45,-1.409,-0.995,0.842,0.223,-0.669,-0.946,2.011,0.837,-0.673,0.822,0.391,-1.14,0.747,-0.875,-0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1218,4390,Dario Šarić,413,6,-0.007,-0.188,-0.225,0.295,0.515,0.621,-0.324,-0.473,-0.685,0.343,0.217,-0.272,-0.017,-0.127,-0.561,-0.356,-0.353,0.532,0.227,0.737,0.58,0.778,1.041,0.055,0.351,-0.42,0.885,1.025,0.56,0.458,0.853,0.032,0.526,0.613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1219,3734,Al Horford,945,13,0.478,0.778,0.964,-0.412,0.469,1.01,0.289,-0.589,0.836,-0.466,-0.191,0.776,0.95,0.824,1.087,1.179,1.272,1.205,1.563,1.623,1.468,1.571,1.822,1.129,-0.139,1.574,0.582,0.615,1.508,2.025,1.43,2.371,1.839,1.938,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1220,4850,Josh Green,127,2,0.639,-0.751,-0.597,-0.092,-0.001,-0.758,-0.485,0.535,-0.703,0.682,-0.884,-0.144,-0.232,-0.873,0.257,-0.61,-0.661,1.18,-0.676,0.047,0.294,0.208,-0.608,-0.375,1.185,-0.438,0.71,-0.823,-0.075,0.737,-0.746,1.097,-0.366,-0.477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1221,4840,Isaiah Stewart,189,3,-0.181,-0.09,0.005,-0.771,1.753,1.381,-0.876,-1.165,1.233,0.294,-0.614,-0.194,-0.032,-0.688,-0.473,-0.793,-0.761,0.429,0.339,0.394,0.408,2.164,1.532,-0.85,-0.396,2.072,0.624,-0.377,0.14,1.072,-0.386,0.374,-0.41,-0.458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1222,1928,Jawann Oldham,277,5,-0.72,-0.9,-0.733,-0.642,0.735,1.14,-1.076,-1.058,3.524,1.316,-1.102,-1.224,0.523,-1.382,1.221,-0.721,-0.707,-0.042,-0.341,0.033,-0.566,0.949,2.047,-0.972,-0.395,4.923,2.333,-0.693,-0.771,0.979,-0.924,2.005,-0.378,-0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1223,1672,Mark Olberding,624,8,1.006,-0.579,0.139,-0.434,-0.201,0.468,-0.096,-0.736,-0.536,0.959,-0.851,0.224,-0.729,-0.302,-0.063,-0.31,-0.381,1.729,0.064,0.76,-0.075,0.139,0.866,0.646,-0.32,-0.363,1.902,-0.133,0.889,-0.126,0.267,0.493,0.16,0.089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1224,1731,Tom Abernethy,67,1,-0.419,-1.018,-0.849,-0.479,-0.478,-0.215,-0.676,-0.649,-0.547,-1.414,-1.334,-0.047,-0.864,-0.403,-0.268,-0.496,-0.673,-0.419,-1.018,-0.849,-0.479,-0.478,-0.215,-0.676,-0.649,-0.547,-1.414,-1.334,-0.047,-0.864,-0.403,-0.268,-0.496,-0.673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
